City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hrs),Snow inches (last 3 hrs)
54,Provideniya,RU,2022-08-02 16:40:49,64.3833,-173.3,52.45,61,28,4.92,scattered clouds,0,0
55,Nyimba,ZM,2022-08-02 16:40:50,-14.5566,30.8149,66.96,63,69,8.9,broken clouds,0,0
56,Cockburn Town,TC,2022-08-02 16:40:50,21.4612,-71.1419,82.44,72,15,13.94,few clouds,0,0
57,Novopokrovka,UA,2022-08-02 16:40:50,49.8425,36.5477,70.32,75,75,13.09,broken clouds,0,0
58,Lavrentiya,RU,2022-08-02 16:40:51,65.5833,-171.0,51.94,64,12,5.39,few clouds,0,0
59,Antofagasta,CL,2022-08-02 16:40:51,-23.65,-70.4,60.08,66,46,6.87,scattered clouds,0,0
60,Elk Point,US,2022-08-02 16:40:52,42.6833,-96.6836,89.76,18,14,16.55,few clouds,0,0
61,Medicine Hat,CA,2022-08-02 16:36:20,50.0501,-110.6683,70.72,63,75,8.05,broken clouds,0,0
62,Maceio,BR,2022-08-02 16:40:52,-9.6658,-35.7353,76.44,94,100,11.5,light rain,0,0
63,Ozerki,RU,2022-08-02 16:40:53,57.6167,39.8833,75.22,53,0,2.24,clear sky,0,0
64,Ilulissat,GL,2022-08-02 16:40:53,69.2167,-51.1,48.22,87,75,5.75,broken clouds,0,0
65,Ponta Do Sol,PT,2022-08-02 16:40:53,32.6667,-17.1,84.7,67,1,3.04,clear sky,0,0
66,Ewa Beach,US,2022-08-02 16:40:54,21.3156,-158.0072,76.95,71,75,15.01,broken clouds,0,0
67,Mataura,NZ,2022-08-02 16:40:15,-46.1927,168.8643,44.47,79,72,9.37,broken clouds,0,0
68,Tessalit,ML,2022-08-02 16:36:40,20.1986,1.0114,77.23,72,70,21.27,heavy intensity rain,0,0
69,Quatre Cocos,MU,2022-08-02 16:40:54,-20.2078,57.7625,69.91,66,0,12.17,clear sky,0,0
70,Xuddur,SO,2022-08-02 16:40:55,4.1213,43.8894,79.32,50,92,20.67,overcast clouds,0,0
71,Albany,US,2022-08-02 16:40:17,42.6001,-73.9662,83.62,67,35,9.4,scattered clouds,0,0
72,Yellowknife,CA,2022-08-02 16:38:03,62.456,-114.3525,63.12,45,20,5.75,few clouds,0,0
73,Pavilosta,LV,2022-08-02 16:40:55,56.8879,21.1859,66.11,69,100,10.04,overcast clouds,0,0
74,Asau,RO,2022-08-02 16:40:56,46.4333,26.4,76.28,63,42,3.42,scattered clouds,0,0
75,Post Falls,US,2022-08-02 16:40:56,47.718,-116.9516,77.88,44,0,4.61,clear sky,0,0
76,Tual,ID,2022-08-02 16:40:57,-5.6667,132.75,79.41,85,56,14.47,broken clouds,0,0
77,Victoria,HK,2022-08-02 16:39:46,22.2855,114.1577,86.38,78,100,8.01,heavy intensity rain,0,0
78,Chapais,CA,2022-08-02 16:40:57,49.7834,-74.8492,58.78,69,100,10.09,overcast clouds,0,0
79,Fort Saint James,CA,2022-08-02 16:40:58,54.4333,-124.25,65.43,45,68,3.69,broken clouds,0,0
80,New Norfolk,AU,2022-08-02 16:40:58,-42.7826,147.0587,54.91,72,100,1.99,overcast clouds,0,0
81,Saint-Philippe,RE,2022-08-02 16:40:58,-21.3585,55.7679,69.39,80,47,8.41,scattered clouds,0,0
82,Banda Aceh,ID,2022-08-02 16:40:59,5.5577,95.3222,76.89,85,100,17.16,overcast clouds,0,0
83,Kapaa,US,2022-08-02 16:40:59,22.0752,-159.319,77.32,84,40,17.27,scattered clouds,0,0
84,Kuching,MY,2022-08-02 16:41:00,1.55,110.3333,75.42,100,40,0.0,moderate rain,0,0
85,Loum,CM,2022-08-02 16:41:00,4.7182,9.7351,74.03,93,93,2.48,moderate rain,0,0
86,Tsabong,BW,2022-08-02 16:41:00,-26.0217,22.401,54.46,94,86,11.59,heavy intensity rain,0,0
87,East London,ZA,2022-08-02 16:41:01,-33.0153,27.9116,59.94,88,0,3.44,clear sky,0,0
88,Adrar,MR,2022-08-02 16:31:28,20.5022,-10.0711,102.34,19,26,8.88,scattered clouds,0,0
89,La Rioja,ES,2022-08-02 16:41:01,42.25,-2.5,92.98,19,3,7.05,clear sky,0,0
90,Karasburg,NA,2022-08-02 16:41:02,-28.0167,18.75,59.11,59,80,18.99,broken clouds,0,0
91,Khatanga,RU,2022-08-02 16:41:02,71.9667,102.5,44.17,69,100,5.61,overcast clouds,0,0
92,Qaanaaq,GL,2022-08-02 16:40:12,77.484,-69.3632,46.09,57,92,2.44,overcast clouds,0,0
93,Cape Town,ZA,2022-08-02 16:40:33,-33.9258,18.4232,59.11,85,0,9.22,clear sky,0,0
94,Namibe,AO,2022-08-02 16:41:03,-15.1961,12.1522,62.11,57,1,5.26,clear sky,0,0
95,Manicore,BR,2022-08-02 16:41:04,-5.8092,-61.3003,96.76,36,77,3.96,broken clouds,0,0
96,Peski,RU,2022-08-02 16:41:04,55.2163,38.7626,71.78,61,87,3.62,overcast clouds,0,0
97,Bonthe,SL,2022-08-02 16:41:05,7.5264,-12.505,74.93,88,100,10.65,light rain,0,0
98,Georgetown,MY,2022-08-02 16:41:05,5.4112,100.3354,80.53,94,40,5.01,scattered clouds,0,0
99,Castro,BR,2022-08-02 16:40:54,-24.7911,-50.0119,76.41,35,0,5.06,clear sky,0,0
100,Owensboro,US,2022-08-02 16:40:20,37.7742,-87.1133,78.85,78,40,6.91,scattered clouds,0,0
101,Bluff,NZ,2022-08-02 16:41:07,-46.6,168.3333,44.8,78,64,31.74,moderate rain,0,0
102,Sieradz,PL,2022-08-02 16:41:07,51.5958,18.7302,78.19,79,95,1.54,overcast clouds,0,0
103,Agadez,NE,2022-08-02 16:41:08,19.75,10.25,101.59,9,1,10.74,clear sky,0,0
104,Itarema,BR,2022-08-02 16:41:09,-2.9248,-39.9167,85.26,56,65,16.49,broken clouds,0,0
105,Salalah,OM,2022-08-02 16:39:16,17.0151,54.0924,77.09,94,100,9.22,light intensity drizzle,0,0
106,Sao Jose Da Coroa Grande,BR,2022-08-02 16:41:10,-8.8978,-35.1478,75.96,90,97,13.13,overcast clouds,0,0
107,Omboue,GA,2022-08-02 16:41:10,-1.5746,9.2618,75.42,72,95,9.69,overcast clouds,0,0
108,Merrill,US,2022-08-02 16:41:11,45.1805,-89.6835,77.77,66,0,8.05,clear sky,0,0
109,Norman Wells,CA,2022-08-02 16:41:12,65.282,-126.8329,60.84,59,75,6.91,broken clouds,0,0
110,Whitehorse,CA,2022-08-02 16:41:12,60.7161,-135.0538,54.37,88,75,8.05,broken clouds,0,0
111,Yulara,AU,2022-08-02 16:41:13,-25.2406,130.9889,61.27,46,58,8.95,broken clouds,0,0
112,Lanzhou,CN,2022-08-02 16:41:13,36.0564,103.7922,77.88,59,98,5.5,overcast clouds,0,0
113,Aleksandrovskoye,RU,2022-08-02 16:41:14,44.7142,43.0008,81.77,40,89,4.61,overcast clouds,0,0
114,Butaritari,KI,2022-08-02 16:41:14,3.0707,172.7902,81.55,74,79,18.72,broken clouds,0,0
115,Lebu,CL,2022-08-02 16:41:15,-37.6167,-73.65,51.6,62,1,13.04,clear sky,0,0
116,Faanui,PF,2022-08-02 16:41:16,-16.4833,-151.75,78.21,69,46,26.49,scattered clouds,0,0
117,Barrow,US,2022-08-02 16:41:16,71.2906,-156.7887,40.6,68,38,14.43,scattered clouds,0,0
118,San Cristobal,VE,2022-08-02 16:41:16,7.7669,-72.225,80.78,78,98,5.77,overcast clouds,0,0
119,Codrington,AU,2022-08-02 16:41:18,-38.2667,141.9667,53.08,71,100,26.35,overcast clouds,0,0
120,Bethel,US,2022-08-02 16:41:19,41.3712,-73.414,89.2,66,75,3.0,broken clouds,0,0
121,Port Alfred,ZA,2022-08-02 16:41:19,-33.5906,26.891,59.18,75,72,7.14,broken clouds,0,0
122,Oistins,BB,2022-08-02 16:41:20,13.0667,-59.5333,87.89,66,40,24.16,scattered clouds,0,0
123,Atuona,PF,2022-08-02 16:41:20,-9.8,-139.0333,76.51,72,8,19.8,clear sky,0,0
124,Cherskiy,RU,2022-08-02 16:40:54,68.75,161.3,52.9,98,100,5.35,moderate rain,0,0
125,Road Town,VG,2022-08-02 16:40:21,18.4167,-64.6167,91.49,79,75,9.22,broken clouds,0,0
126,Iqaluit,CA,2022-08-02 16:41:21,63.7506,-68.5145,46.13,81,100,3.44,light rain,0,0
127,Tuatapere,NZ,2022-08-02 16:41:21,-46.1333,167.6833,48.09,81,61,12.59,broken clouds,0,0
128,Misratah,LY,2022-08-02 16:41:22,32.3754,15.0925,84.38,61,0,11.86,clear sky,0,0
129,Westport,US,2022-08-02 16:39:08,41.1415,-73.3579,90.46,63,10,1.99,clear sky,0,0
130,Zyryanka,RU,2022-08-02 16:41:22,65.75,150.85,63.23,96,100,15.12,light rain,0,0
131,Qasigiannguit,GL,2022-08-02 16:41:23,68.8193,-51.1922,48.45,82,100,3.44,overcast clouds,0,0
132,Chokurdakh,RU,2022-08-02 16:41:23,70.6333,147.9167,52.34,68,100,5.3,overcast clouds,0,0
133,Egvekinot,RU,2022-08-02 16:41:24,66.3167,-179.1667,50.5,65,0,2.98,clear sky,0,0
134,Silva Jardim,BR,2022-08-02 16:41:24,-22.6508,-42.3917,78.78,45,2,7.83,clear sky,0,0
135,Sao Benedito Do Rio Preto,BR,2022-08-02 16:41:24,-3.3336,-43.5283,92.5,34,40,4.83,scattered clouds,0,0
136,Nioro,GM,2022-08-02 16:41:25,13.35,-15.75,84.67,69,71,9.1,light rain,0,0
137,Saskylakh,RU,2022-08-02 16:41:25,71.9167,114.0833,43.68,87,100,6.76,overcast clouds,0,0
138,Mahebourg,MU,2022-08-02 16:41:25,-20.4081,57.7,70.09,68,20,6.91,few clouds,0,0
139,Tautira,PF,2022-08-02 16:41:26,-17.7333,-149.15,76.55,69,18,22.24,few clouds,0,0
140,Okhotsk,RU,2022-08-02 16:41:26,59.3833,143.3,53.15,91,74,2.24,broken clouds,0,0
141,Leningradskiy,RU,2022-08-02 16:41:27,69.3833,178.4167,57.42,51,100,14.83,overcast clouds,0,0
142,Tocopilla,CL,2022-08-02 16:31:27,-22.092,-70.1979,63.19,71,12,4.7,few clouds,0,0
143,Bilma,NE,2022-08-02 16:41:27,18.6853,12.9164,98.78,27,71,10.16,broken clouds,0,0
144,Sabzevar,IR,2022-08-02 16:41:27,36.2126,57.6819,88.88,15,20,11.5,few clouds,0,0
145,Mantua,IT,2022-08-02 16:41:28,45.1667,10.7833,88.84,47,20,3.0,few clouds,0,0
146,Hofn,IS,2022-08-02 16:41:28,64.2539,-15.2082,50.61,67,27,14.74,scattered clouds,0,0
147,Kangaatsiaq,GL,2022-08-02 16:41:29,68.3065,-53.4641,44.4,87,100,8.03,overcast clouds,0,0
148,Shatoy,RU,2022-08-02 16:41:29,42.8714,45.6886,69.98,86,94,5.82,light rain,0,0
149,Bengkulu,ID,2022-08-02 16:41:32,-3.8004,102.2655,74.77,92,87,3.2,overcast clouds,0,0
150,Torbay,CA,2022-08-02 16:41:33,47.6666,-52.7314,81.75,64,75,9.22,broken clouds,0,0
151,Bambanglipuro,ID,2022-08-02 16:41:33,-7.95,110.2833,74.32,93,74,2.68,broken clouds,0,0
152,Geraldton,AU,2022-08-02 16:41:34,-28.7667,114.6,59.41,88,40,21.85,scattered clouds,0,0
153,Dali,CN,2022-08-02 16:41:34,25.7,100.1833,61.86,92,53,1.95,broken clouds,0,0
154,Zaragoza,ES,2022-08-02 16:40:19,41.6561,-0.8773,103.44,14,0,3.44,clear sky,0,0
155,Upernavik,GL,2022-08-02 16:41:35,72.7868,-56.1549,45.77,74,83,10.76,broken clouds,0,0
156,Faya,SA,2022-08-02 16:41:13,18.3851,42.4509,66.31,76,89,5.14,overcast clouds,0,0
157,Narsaq,GL,2022-08-02 16:40:56,60.9167,-46.05,57.42,60,100,7.47,overcast clouds,0,0
158,Nuuk,GL,2022-08-02 16:41:35,64.1835,-51.7216,54.21,66,75,17.27,broken clouds,0,0
159,Berdigestyakh,RU,2022-08-02 16:41:36,62.0989,126.6992,61.16,99,79,2.73,broken clouds,0,0
160,Tucupita,VE,2022-08-02 16:41:36,9.0622,-62.051,81.84,85,96,5.48,overcast clouds,0,0
161,Tokur,RU,2022-08-02 16:41:37,53.1333,132.9,55.31,99,98,3.15,light rain,0,0
162,Sistranda,NO,2022-08-02 16:41:37,63.7256,8.834,64.36,78,86,11.12,overcast clouds,0,0
163,Saldanha,ZA,2022-08-02 16:41:37,-33.0117,17.9442,59.05,77,26,10.58,scattered clouds,0,0
164,Bad Salzungen,DE,2022-08-02 16:41:38,50.8167,10.2333,84.74,28,71,2.89,broken clouds,0,0
165,Dikson,RU,2022-08-02 16:41:02,73.5069,80.5464,41.72,88,49,5.95,scattered clouds,0,0
166,Motril,ES,2022-08-02 16:41:38,36.7507,-3.5179,103.28,51,0,2.75,clear sky,0,0
167,Ust-Koksa,RU,2022-08-02 16:41:39,50.2696,85.6108,55.29,87,82,0.92,broken clouds,0,0
168,Arraial Do Cabo,BR,2022-08-02 16:40:17,-22.9661,-42.0278,78.76,69,20,9.22,few clouds,0,0
169,Ribeira Grande,PT,2022-08-02 16:41:39,38.5167,-28.7,77.4,78,40,11.5,scattered clouds,0,0
170,Brokopondo,SR,2022-08-02 16:41:40,4.75,-55.1667,85.93,62,20,2.26,few clouds,0,0
171,Ketchikan,US,2022-08-02 16:40:58,55.3422,-131.6461,57.67,94,100,10.36,mist,0,0
172,Majene,ID,2022-08-02 16:41:40,-3.5403,118.9707,76.87,90,98,8.79,moderate rain,0,0
173,Bredasdorp,ZA,2022-08-02 16:41:40,-34.5322,20.0403,50.99,82,11,2.55,few clouds,0,0
174,Kodiak,US,2022-08-02 16:41:41,57.79,-152.4072,58.51,58,0,12.66,clear sky,0,0
175,Akyab,MM,2022-08-02 16:41:41,20.15,92.9,82.27,83,100,2.93,overcast clouds,0,0
176,Landsberg,PL,2022-08-02 16:41:07,52.7368,15.2288,76.84,43,55,4.0,broken clouds,0,0
177,Tonantins,BR,2022-08-02 16:41:42,-2.8731,-67.8022,77.86,85,100,1.61,overcast clouds,0,0
178,Thompson,CA,2022-08-02 16:41:42,55.7435,-97.8558,57.36,100,100,4.61,overcast clouds,0,0
